hour,total_observations,mean_price,median_price,negative_price_pct,low_price_pct,high_price_pct
0,291,99.68637544293632,99.06,0.0,0.69,68.73
1,291,94.69403295763685,94.52764299555687,0.0,0.69,68.04
2,291,91.73195540411142,92.48758838958396,0.34,1.37,66.67
3,291,91.58182892976265,92.47224963314808,0.0,1.03,66.32
4,291,94.17352587077467,94.5378688331808,0.0,1.03,67.7
5,291,106.02941100602148,104.50806051650706,0.0,0.34,70.79
6,291,129.12045584649783,127.63890522182398,0.0,0.69,71.82
7,291,141.12122392343036,134.45499999999998,0.0,1.03,69.42
8,291,119.72751329905856,120.06750000000001,0.34,5.5,59.11
9,291,98.6596692672795,105.51019260365166,1.37,13.4,52.58
10,291,84.49471390252565,95.05938655200092,4.12,18.9,47.08
11,291,77.61368616500056,90.98950317767904,5.5,20.62,45.02
12,291,76.34724755742195,91.70000000000002,7.22,20.62,45.02
13,291,79.5319699469172,92.75857308661796,8.25,19.59,46.05
14,291,92.29888024450216,100.49,6.53,15.46,49.48
15,291,116.01024255246895,111.13951621562202,2.75,7.56,59.11
16,291,146.27481118531847,140.01216874677246,0.69,3.09,68.04
17,291,162.7028894614301,148.85240537265508,0.0,0.69,72.51
18,291,175.70554700003058,156.49110607772658,0.0,0.0,73.88
19,291,176.84086541097346,156.76,0.0,0.0,73.88
20,291,153.3625824774446,145.29,0.0,0.0,73.88
21,291,131.75950742918994,126.51,0.0,0.0,73.2
22,291,117.16370461823797,116.66146853254116,0.0,0.0,73.2
23,291,103.53818156242238,104.06,0.0,0.0,70.79
