datetime,price,hour,action,soc,energy_delta,revenue
2025-09-13 10:00:00,13.94804251903284,10,CHARGE,10.0,10.0,-139.48042519032842
2025-09-13 11:00:00,2.372394328750454,11,CHARGE,20.0,10.0,-23.72394328750454
2025-09-13 12:00:00,0.0,12,CHARGE,30.0,10.0,-0.0
2025-09-13 13:00:00,0.0,13,CHARGE,40.0,10.0,-0.0
2025-09-13 14:00:00,0.0,14,CHARGE,50.0,10.0,-0.0
2025-09-13 15:00:00,0.0102258376239243,15,CHARGE,60.0,10.0,-0.102258376239243
2025-09-13 16:00:00,69.83224513377952,16,HOLD,60.0,0.0,0.0
2025-09-13 17:00:00,120.3223184019061,17,DISCHARGE,50.0,-10.0,1082.900865617155
2025-09-13 18:00:00,128.37005261193457,18,DISCHARGE,40.0,-10.0,1155.3304735074112
2025-09-13 19:00:00,144.36837557456423,19,DISCHARGE,30.0,-10.0,1299.315380171078
2025-09-13 20:00:00,128.25245547925945,20,DISCHARGE,20.0,-10.0,1154.272099313335
2025-09-13 21:00:00,108.57794389082896,21,DISCHARGE,10.0,-10.0,977.2014950174606
2025-09-13 22:00:00,100.76029102733878,22,DISCHARGE,0.0,-10.0,906.842619246049
2025-09-13 23:00:00,89.93112898360286,23,HOLD,0.0,0.0,0.0
2025-09-14 00:00:00,83.20764074587261,0,HOLD,0.0,0.0,0.0
2025-09-14 01:00:00,74.00949980315262,1,HOLD,0.0,0.0,0.0
2025-09-14 02:00:00,75.5280366903054,2,HOLD,0.0,0.0,0.0
2025-09-14 03:00:00,80.52847128840442,3,HOLD,0.0,0.0,0.0
2025-09-14 04:00:00,82.34867038546295,4,HOLD,0.0,0.0,0.0
2025-09-14 05:00:00,87.63031551821989,5,HOLD,0.0,0.0,0.0
2025-09-14 06:00:00,91.78200559353316,6,HOLD,0.0,0.0,0.0
2025-09-14 07:00:00,97.87149189858012,7,HOLD,0.0,0.0,0.0
2025-09-14 08:00:00,16.36134019827899,8,CHARGE,10.0,10.0,-163.61340198278992
2025-09-14 09:00:00,10.849613718983756,9,CHARGE,20.0,10.0,-108.49613718983755
2025-09-14 10:00:00,10.098014653625317,10,CHARGE,30.0,10.0,-100.98014653625316
2025-09-14 11:00:00,7.991492103096896,11,CHARGE,40.0,10.0,-79.91492103096897
2025-09-14 12:00:00,0.0,12,CHARGE,50.0,10.0,-0.0
2025-09-14 13:00:00,0.0,13,CHARGE,60.0,10.0,-0.0
2025-09-14 14:00:00,-0.0102258376239243,14,CHARGE,70.0,10.0,0.102258376239243
2025-09-14 15:00:00,0.0,15,CHARGE,80.0,10.0,-0.0
2025-09-14 16:00:00,20.001738392396067,16,HOLD,80.0,0.0,0.0
2025-09-14 17:00:00,94.6196755341722,17,DISCHARGE,70.0,-10.0,851.5770798075498
2025-09-14 18:00:00,126.16127168516692,18,DISCHARGE,60.0,-10.0,1135.4514451665023
2025-09-14 19:00:00,159.54863152727998,19,DISCHARGE,50.0,-10.0,1435.9376837455197
2025-09-14 20:00:00,126.54985351487603,20,DISCHARGE,40.0,-10.0,1138.9486816338842
2025-09-14 21:00:00,91.49056922125132,21,DISCHARGE,30.0,-10.0,823.4151229912619
2025-09-14 22:00:00,78.16118987846592,22,DISCHARGE,20.0,-10.0,703.4507089061933
2025-09-14 23:00:00,35.34049482828262,23,HOLD,20.0,0.0,0.0
2025-09-15 00:00:00,68.03249771196883,0,HOLD,20.0,0.0,0.0
2025-09-15 01:00:00,43.08145390959337,1,HOLD,20.0,0.0,0.0
2025-09-15 02:00:00,51.95236804834776,2,HOLD,20.0,0.0,0.0
2025-09-15 03:00:00,49.28853734731547,3,HOLD,20.0,0.0,0.0
2025-09-15 04:00:00,52.20801398894587,4,HOLD,20.0,0.0,0.0
2025-09-15 05:00:00,85.3295020528369,5,DISCHARGE,10.0,-10.0,767.9655184755321
2025-09-15 06:00:00,142.22094967354016,6,DISCHARGE,0.0,-10.0,1279.9885470618615
2025-09-15 07:00:00,155.18219886186426,7,HOLD,0.0,0.0,0.0
2025-09-15 08:00:00,114.40155841765387,8,HOLD,0.0,0.0,0.0
2025-09-15 09:00:00,61.04825061482849,9,HOLD,0.0,0.0,0.0
2025-09-15 10:00:00,11.948891263555629,10,CHARGE,10.0,10.0,-119.48891263555629
2025-09-15 11:00:00,8.702187817959638,11,CHARGE,20.0,10.0,-87.02187817959638
2025-09-15 12:00:00,7.761410756558597,12,CHARGE,30.0,10.0,-77.61410756558597
2025-09-15 13:00:00,8.431203120925643,13,CHARGE,40.0,10.0,-84.31203120925643
2025-09-15 14:00:00,10.098014653625317,14,CHARGE,50.0,10.0,-100.98014653625316
2025-09-15 15:00:00,31.23993394108895,15,HOLD,50.0,0.0,0.0
2025-09-15 16:00:00,88.25920453209125,16,DISCHARGE,40.0,-10.0,794.3328407888212
2025-09-15 17:00:00,159.81961622431396,17,DISCHARGE,30.0,-10.0,1438.3765460188256
